NORBERT

Step	Training Loss
500	7.379679
1000	6.847919
1500	6.713919
2000	6.652699
2500	6.585889
3000	6.556836
3500	6.517672
4000	6.456199
4500	6.394316
5000	6.263309
5500	6.145398
6000	6.034562
6500	5.908969
7000	5.824164
7500	5.677164
8000	5.537273
8500	5.472305
9000	5.368391
9500	5.306070
10000	5.219062
10500	5.216273
11000	5.117508
11500	5.071281
12000	5.023922
12500	4.984531
13000	4.941766
13500	4.915547
14000	4.861719
14500	4.810562
15000	4.807766
15500	4.776516
16000	4.724172
16500	4.720266
17000	4.656281
17500	4.640609
18000	4.632531
18500	4.617375
19000	4.566344
19500	4.580469
20000	4.558328
20500	4.528047
21000	4.536109
21500	4.497297
22000	4.461594
22500	4.455094
23000	4.436656
23500	4.416906
24000	4.406109
24500	4.416875
25000	4.385156
25500	4.366094
26000	4.359531
26500	4.377531
27000	4.336437
27500	4.335438
28000	4.320250
28500	4.320875
29000	4.305594
29500	4.295063
30000	4.297875
30500	4.295813
31000	4.294531
31500	4.264125
32000	4.255312
32500	4.247969
33000	4.242719
33500	4.250625
34000	4.247687
34500	4.252438
35000	4.225781
35500	4.229781
36000	4.244406
36500	4.233562

FINBERT

Step	Training Loss
500	7.361132
1000	7.386663
1500	7.294195
2000	7.210350
2500	7.142148
3000	7.105457
3500	7.055742
4000	7.007770
4500	6.921863
5000	6.818016
5500	6.733992
6000	6.614609
6500	6.562406
7000	6.467750
7500	6.379180
8000	6.316336
8500	6.250523
9000	6.176258
9500	6.118336
10000	6.032742
10500	5.969750
11000	5.901172
11500	5.855406
12000	5.830641
12500	5.774281
13000	5.724891
13500	5.687812
14000	5.651625
14500	5.635453
15000	5.605875
15500	5.586703
16000	5.544891
16500	5.491516
17000	5.489078
17500	5.466531
18000	5.431312
18500	5.425953
19000	5.425109
19500	5.398328
20000	5.354609
20500	5.366422
21000	5.341062
21500	5.313234
22000	5.314469
22500	5.258188
23000	5.283594
23500	5.257594
24000	5.245469
24500	5.246937
25000	5.213281
25500	5.204313
26000	5.189156
26500	5.194125
27000	5.188531
27500	5.171000
28000	5.161469
28500	5.157531
29000	5.171563
29500	5.141438
30000	5.145219
30500	5.107062
31000	5.109594
31500	5.134031
32000	5.112156
32500	5.079094

FINETUNING:

NOR NER

Epoch	Training Loss	Validation Loss	Precision	Recall		F1		Accuracy
1	0.113600	0.091842	0.509547	0.553318	0.530531	0.971212
2	0.072000	0.074753	0.609260	0.639218	0.623880	0.977783
3	0.055900	0.071990	0.629909	0.693720	0.660276	0.978306
4	0.041000	0.069015	0.655250	0.691351	0.672816	0.980203
5	0.030700	0.068949	0.680936	0.706754	0.693605	0.981385
6	0.023300	0.075143	0.712603	0.716825	0.714708	0.981990
7	0.018000	0.075876	0.679117	0.710900	0.694645	0.981055
8	0.014200	0.078169	0.682844	0.716825	0.699422	0.981083
9	0.011800	0.079455	0.683380	0.718602	0.700549	0.981138
10	0.010000	0.081080	0.695379	0.722156	0.708515	0.981413

NOR POS
1	0.428800	0.158514	0.943617	0.939393	0.941500	0.951030
2	0.151100	0.130036	0.953982	0.950904	0.952441	0.959663
3	0.107600	0.116720	0.958807	0.956689	0.957746	0.964173
4	0.086800	0.106699	0.964788	0.962909	0.963848	0.969205
5	0.069400	0.104559	0.964808	0.962677	0.963741	0.969260
6	0.058600	0.103479	0.967019	0.964799	0.965908	0.970964
7	0.051600	0.105408	0.967089	0.965206	0.966146	0.971184
8	0.044600	0.106707	0.967722	0.965612	0.966666	0.971624
9	0.041100	0.107641	0.968127	0.965932	0.967028	0.972092
10	0.037800	0.108067	0.967961	0.966019	0.966989	0.972064


